"voxel" "x" "y" "z" "ROI" "pvalue" "discoveries"
"352" 352 45 50 1 5 0.1570131 0
"353" 353 46 50 1 5 0.03402142 0
"354" 354 20 51 1 16 1.042912e-06 1
"355" 355 21 51 1 21 0.6968774 0
"356" 356 22 51 1 16 0.0008572508 1
"357" 357 23 51 1 16 0.4552352 0
"358" 358 24 51 1 16 0.3600283 0
"359" 359 25 51 1 16 0.0565629 0
"360" 360 26 51 1 16 0.4647723 0
"361" 361 27 51 1 21 0.3921475 0
"362" 362 28 51 1 21 0.09495863 0
"363" 363 29 51 1 21 0.5096046 0
"364" 364 30 51 1 21 0.1573582 0
"365" 365 33 51 1 10 0.2473383 0
"366" 366 34 51 1 10 0.07356285 0
"367" 367 35 51 1 10 0.614873 0
"368" 368 36 51 1 10 0.05814979 0
"369" 369 37 51 1 10 0.9080606 0
"370" 370 38 51 1 10 0.05380444 0
"371" 371 39 51 1 10 0.1089307 0
"372" 372 40 51 1 10 0.03391917 0
"373" 373 41 51 1 10 0.009693173 0
"374" 374 42 51 1 5 0.0001660423 1
"375" 375 43 51 1 5 1.830877e-05 1
"376" 376 44 51 1 5 0.3792872 0
"377" 377 45 51 1 5 0.1729198 0
"378" 378 46 51 1 5 0.1709716 0
"379" 379 21 52 1 16 1.30674e-05 1
"380" 380 22 52 1 16 0.4757693 0
"381" 381 23 52 1 16 0.2104314 0
"382" 382 24 52 1 16 0.3678461 0
"383" 383 25 52 1 16 0.5430406 0
"384" 384 26 52 1 16 0.290588 0
"385" 385 27 52 1 21 0.8957683 0
"386" 386 28 52 1 21 0.6057255 0
"387" 387 29 52 1 21 0.3697869 0
"388" 388 30 52 1 21 0.09764609 0
"389" 389 33 52 1 10 0.03331518 0
"390" 390 34 52 1 10 0.4418542 0
"391" 391 35 52 1 10 0.9372717 0
"392" 392 36 52 1 10 0.7470972 0
"393" 393 37 52 1 10 0.3169332 0
"394" 394 38 52 1 10 0.03441072 0
"395" 395 39 52 1 10 0.7118744 0
"396" 396 40 52 1 10 0.02448022 0
"397" 397 41 52 1 10 0.4871757 0
"398" 398 42 52 1 10 0.5886573 0
"399" 399 43 52 1 5 0.004548606 1
"400" 400 44 52 1 5 0.1430201 0
"401" 401 45 52 1 5 0.3397189 0
"402" 402 24 53 1 16 0.8906753 0
"403" 403 25 53 1 16 0.7589903 0
"404" 404 26 53 1 16 0.1319354 0
"405" 405 27 53 1 21 0.7486293 0
"406" 406 28 53 1 21 0.8895677 0
"407" 407 29 53 1 21 0.1508638 0
"408" 408 30 53 1 21 0.435496 0
"409" 409 33 53 1 10 0.19313 0
"410" 410 34 53 1 10 0.4238797 0
"411" 411 35 53 1 10 0.6444599 0
"412" 412 36 53 1 10 0.9269033 0
"413" 413 37 53 1 10 0.1129496 0
"414" 414 38 53 1 10 0.05370521 0
"415" 415 39 53 1 10 0.9615812 0
"416" 416 40 53 1 10 0.9009594 0
"417" 417 41 53 1 10 0.5936351 0
"418" 418 42 53 1 5 0.02120927 0
"419" 419 43 53 1 5 3.260775e-06 1
"420" 420 44 53 1 5 0.1275372 0
"421" 421 25 54 1 16 0.1058121 0
"422" 422 26 54 1 16 0.4339041 0
"423" 423 27 54 1 21 0.375194 0
"424" 424 28 54 1 21 0.2774148 0
"425" 425 29 54 1 21 0.2194313 0
"426" 426 30 54 1 21 0.03399186 0
"427" 427 33 54 1 10 0.02660752 0
"428" 428 34 54 1 10 0.3490538 0
"429" 429 35 54 1 10 0.1268143 0
"430" 430 36 54 1 10 0.1380537 0
"431" 431 37 54 1 10 0.9478198 0
"432" 432 38 54 1 10 0.98587 0
"433" 433 39 54 1 10 0.2160358 0
"434" 434 40 54 1 10 0.06777556 0
"435" 435 41 54 1 5 0.5498307 0
"436" 436 42 54 1 5 0.002776995 1
"437" 437 43 54 1 5 2.471207e-06 1
"438" 438 27 55 1 21 0.1154447 0
"439" 439 28 55 1 21 0.183501 0
"440" 440 29 55 1 21 0.6949746 0
"441" 441 30 55 1 21 0.9496631 0
"442" 442 33 55 1 10 0.003657199 1
"443" 443 34 55 1 10 0.01841071 0
"444" 444 35 55 1 10 0.1483759 0
"445" 445 36 55 1 10 0.7763192 0
"446" 446 37 55 1 10 0.265535 0
"447" 447 38 55 1 10 0.3102811 0
"448" 448 39 55 1 10 0.1458943 0
"449" 449 40 55 1 10 0.2758078 0
"450" 450 41 55 1 5 0.6375414 0
"451" 451 42 55 1 5 0.01485711 0
"452" 452 36 56 1 10 0.01313226 0
"453" 453 37 56 1 10 9.641917e-05 1
"454" 454 38 56 1 10 0.0005197556 1
"455" 455 39 56 1 5 0.2624662 0
"456" 456 40 56 1 5 0.2026855 0
"457" 457 41 56 1 5 0.05684108 0
"458" 458 38 23 2 2 0.724708 0
"459" 459 24 24 2 13 0.008924685 0
"460" 460 25 24 2 13 0.1099697 0
"461" 461 38 24 2 2 0.9529183 0
"462" 462 39 24 2 2 0.07286572 0
"463" 463 40 24 2 2 0.4150328 0
"464" 464 22 25 2 13 0.07364072 0
"465" 465 23 25 2 13 0.9495408 0
"466" 466 24 25 2 13 0.1846773 0
"467" 467 25 25 2 13 0.2201583 0
"468" 468 38 25 2 2 0.8676274 0
"469" 469 39 25 2 2 0.2420854 0
"470" 470 40 25 2 2 0.8302547 0
"471" 471 41 25 2 2 8.132265e-05 1
"472" 472 21 26 2 13 0.003307051 1
"473" 473 22 26 2 13 0.7350782 0
"474" 474 23 26 2 13 0.7593683 0
"475" 475 24 26 2 13 0.5321959 0
"476" 476 38 26 2 2 0.2041736 0
"477" 477 39 26 2 2 0.8644539 0
"478" 478 40 26 2 2 0.1071885 0
"479" 479 41 26 2 2 0.414245 0
"480" 480 42 26 2 2 0.01887961 0
"481" 481 21 27 2 13 0.5549461 0
"482" 482 22 27 2 13 0.679632 0
"483" 483 23 27 2 13 0.4737714 0
"484" 484 24 27 2 13 0.8709143 0
"485" 485 25 27 2 13 0.6869096 0
"486" 486 38 27 2 2 0.6299632 0
"487" 487 39 27 2 2 0.8588179 0
"488" 488 40 27 2 2 0.9420246 0
"489" 489 41 27 2 2 0.6316731 0
"490" 490 42 27 2 2 0.003674818 1
"491" 491 43 27 2 2 0.8675698 0
"492" 492 20 28 2 14 0.2413739 0
"493" 493 21 28 2 13 0.6014382 0
"494" 494 22 28 2 13 0.1166083 0
"495" 495 23 28 2 13 0.2459065 0
"496" 496 24 28 2 13 0.08218238 0
"497" 497 25 28 2 13 0.03116158 0
"498" 498 26 28 2 13 0.1102301 0
"499" 499 38 28 2 2 0.6984862 0
"500" 500 39 28 2 2 0.8060519 0
"501" 501 40 28 2 2 0.4554512 0
"502" 502 41 28 2 2 0.4145099 0
"503" 503 42 28 2 2 0.02365463 0
"504" 504 43 28 2 2 0.2981061 0
"505" 505 44 28 2 3 0.114003 0
"506" 506 19 29 2 14 0.3338581 0
"507" 507 20 29 2 13 0.9599599 0
"508" 508 21 29 2 13 0.2978015 0
"509" 509 22 29 2 13 0.08672109 0
"510" 510 23 29 2 13 0.07836789 0
"511" 511 24 29 2 13 0.02484114 0
"512" 512 25 29 2 13 0.027225 0
"513" 513 26 29 2 13 0.9140103 0
"514" 514 37 29 2 2 0.1920323 0
"515" 515 38 29 2 2 0.3835873 0
"516" 516 39 29 2 2 0.6229084 0
"517" 517 40 29 2 2 0.4155214 0
"518" 518 41 29 2 3 0.7066793 0
"519" 519 42 29 2 3 0.856115 0
"520" 520 43 29 2 3 0.2620392 0
"521" 521 44 29 2 3 0.4115372 0
"522" 522 45 29 2 3 0.8384376 0
"523" 523 19 30 2 14 0.1880166 0
"524" 524 20 30 2 13 0.2971222 0
"525" 525 21 30 2 13 0.1853385 0
"526" 526 22 30 2 13 0.7134332 0
"527" 527 23 30 2 13 0.3820943 0
"528" 528 24 30 2 13 0.08543743 0
"529" 529 25 30 2 13 0.4384663 0
"530" 530 37 30 2 2 0.8690763 0
"531" 531 38 30 2 2 0.1089111 0
"532" 532 39 30 2 2 0.0007667307 1
"533" 533 40 30 2 2 0.001463408 1
"534" 534 41 30 2 3 0.2099394 0
"535" 535 42 30 2 3 0.400339 0
"536" 536 43 30 2 3 0.4266513 0
"537" 537 44 30 2 3 0.2948378 0
"538" 538 45 30 2 3 0.09677278 0
"539" 539 46 30 2 3 0.02938799 0
"540" 540 19 31 2 14 0.06493245 0
"541" 541 20 31 2 14 0.05548033 0
"542" 542 21 31 2 13 0.1943018 0
"543" 543 22 31 2 13 0.7500603 0
"544" 544 23 31 2 13 0.5317769 0
"545" 545 24 31 2 13 0.02280728 0
"546" 546 25 31 2 13 0.3466879 0
"547" 547 37 31 2 2 0.5080432 0
"548" 548 38 31 2 2 0.6131704 0
"549" 549 39 31 2 2 0.0002603331 1
"550" 550 40 31 2 2 0.003433185 1
"551" 551 41 31 2 3 0.6817962 0
"552" 552 42 31 2 3 0.7896361 0
"553" 553 43 31 2 3 0.02368897 0
"554" 554 44 31 2 3 0.51064 0
"555" 555 45 31 2 3 0.6850056 0
"556" 556 46 31 2 3 0.2231072 0
"557" 557 19 32 2 14 0.002704039 0
"558" 558 20 32 2 14 0.910178 0
"559" 559 21 32 2 14 0.4962586 0
"560" 560 22 32 2 13 0.002844859 1
"561" 561 23 32 2 13 0.1444427 0
"562" 562 24 32 2 13 0.004045734 1
"563" 563 25 32 2 13 0.7518854 0
"564" 564 28 32 2 24 0.3090038 0
"565" 565 29 32 2 24 0.7915584 0
"566" 566 30 32 2 24 0.005361813 0
"567" 567 31 32 2 24 0.0003631147 1
"568" 568 32 32 2 24 0.1425617 0
"569" 569 33 32 2 24 0.04757675 0
"570" 570 34 32 2 24 0.0276134 0
"571" 571 37 32 2 2 0.6619702 0
"572" 572 38 32 2 2 0.6139049 0
"573" 573 39 32 2 2 0.01926338 0
"574" 574 40 32 2 2 0.8163 0
"575" 575 41 32 2 3 0.3121693 0
"576" 576 42 32 2 3 0.7302807 0
"577" 577 43 32 2 3 0.8696514 0
"578" 578 44 32 2 3 0.6507352 0
"579" 579 45 32 2 3 0.01109308 0
"580" 580 46 32 2 3 0.0005079417 1
"581" 581 19 33 2 14 0.5232267 0
"582" 582 20 33 2 14 0.4234258 0
"583" 583 21 33 2 14 0.05006787 0
"584" 584 22 33 2 13 0.2164006 0
"585" 585 23 33 2 13 0.0792194 0
"586" 586 24 33 2 13 0.5171475 0
"587" 587 25 33 2 13 0.7403516 0
"588" 588 26 33 2 19 0.2397685 0
"589" 589 27 33 2 24 0.8254954 0
"590" 590 28 33 2 24 0.0099519 0
"591" 591 29 33 2 24 0.0008085867 1
"592" 592 30 33 2 24 0.002785351 1
"593" 593 31 33 2 24 0.006004328 0
"594" 594 32 33 2 24 0.08224666 0
"595" 595 33 33 2 24 3.919332e-07 1
"596" 596 34 33 2 24 1.262523e-08 1
"597" 597 35 33 2 24 0.278199 0
"598" 598 36 33 2 24 0.5548503 0
"599" 599 38 33 2 2 0.138235 0
"600" 600 39 33 2 2 0.07006055 0
"601" 601 40 33 2 2 0.002630428 1
"602" 602 41 33 2 3 0.1155342 0
"603" 603 42 33 2 3 0.1228486 0
"604" 604 43 33 2 3 0.1695445 0
"605" 605 44 33 2 3 0.9924268 0
"606" 606 45 33 2 3 0.8532644 0
"607" 607 46 33 2 3 0.002024634 1
"608" 608 19 34 2 19 0.08187195 0
"609" 609 20 34 2 19 0.003015817 1
"610" 610 21 34 2 14 0.2295469 0
"611" 611 22 34 2 13 0.7298175 0
"612" 612 23 34 2 13 0.9558425 0
"613" 613 24 34 2 19 0.7730765 0
"614" 614 25 34 2 19 0.01120667 0
"615" 615 26 34 2 19 0.2909498 0
"616" 616 27 34 2 24 0.7347944 0
"617" 617 28 34 2 24 0.2439375 0
"618" 618 29 34 2 24 0.3401857 0
"619" 619 30 34 2 24 0.1850131 0
"620" 620 31 34 2 24 0.438901 0
"621" 621 32 34 2 24 0.9511209 0
"622" 622 33 34 2 24 0.001096061 1
"623" 623 34 34 2 24 0.004071436 1
"624" 624 35 34 2 24 0.4283243 0
"625" 625 39 34 2 2 0.5039781 0
"626" 626 40 34 2 2 0.06919954 0
"627" 627 41 34 2 8 0.2459852 0
"628" 628 42 34 2 8 0.3864092 0
"629" 629 43 34 2 8 0.7120063 0
"630" 630 44 34 2 8 0.9791922 0
"631" 631 45 34 2 8 0.9958169 0
"632" 632 46 34 2 8 0.03975759 0
"633" 633 47 34 2 8 0.1859459 0
