voxel x y z ROI pvalue
143 33 35 1 24 0.3651359
144 34 35 1 24 0.9850477
145 35 35 1 24 0.2765388
146 37 35 1 8 0.3855008
147 38 35 1 8 0.7387674
148 39 35 1 8 0.537311
149 40 35 1 8 0.8939809
150 41 35 1 2 0.135045
151 42 35 1 8 0.06575025
152 43 35 1 8 0.388169
153 44 35 1 8 0.9400072
154 45 35 1 8 0.6894835
155 20 36 1 19 0.3366491
156 21 36 1 19 0.2549838
157 22 36 1 19 0.006217261
158 23 36 1 19 0.02105723
159 24 36 1 19 0.1896513
160 25 36 1 19 0.1167419
161 28 36 1 24 0.3763939
162 29 36 1 24 0.279059
163 30 36 1 24 0.473128
164 31 36 1 24 0.6478729
165 32 36 1 24 0.8414658
166 33 36 1 24 0.7185685
167 34 36 1 24 0.5694641
168 35 36 1 24 0.4325532
169 37 36 1 8 0.2536261
170 38 36 1 8 0.8873309
171 39 36 1 8 0.5099498
172 40 36 1 8 0.6335777
173 41 36 1 8 0.5734143
174 42 36 1 8 0.7768068
175 43 36 1 8 0.09002124
176 44 36 1 8 0.1496296
177 45 36 1 8 0.002048647
178 20 37 1 19 0.8529921
179 21 37 1 19 0.05153486
180 22 37 1 19 0.1428842
181 23 37 1 19 0.8518743
182 24 37 1 19 0.06669057
183 25 37 1 19 0.06406714
184 28 37 1 24 0.2945985
185 29 37 1 24 0.09519961
186 30 37 1 24 0.7453699
187 31 37 1 24 0.1731299
188 32 37 1 24 0.5645596
189 33 37 1 24 0.02680073
190 34 37 1 24 0.4219469
191 35 37 1 24 0.1535899
192 37 37 1 8 0.04102154
193 38 37 1 8 0.4652048
194 39 37 1 8 0.1100088
195 40 37 1 8 0.04212541
196 41 37 1 8 0.2432834
197 42 37 1 8 0.7214007
198 43 37 1 8 0.040635
199 44 37 1 8 0.0005151412
200 45 37 1 8 0.1447413
201 22 38 1 19 0.1419576
202 23 38 1 19 0.2168123
203 24 38 1 19 0.2230753
204 25 38 1 19 0.1452573
205 26 38 1 19 0.2278728
206 28 38 1 24 0.6032438
207 29 38 1 24 0.1595671
208 30 38 1 24 0.189739
209 31 38 1 24 0.03907651
210 32 38 1 24 0.01853992
211 33 38 1 24 0.6609375
212 34 38 1 24 0.8736272
213 35 38 1 24 0.7702162
214 37 38 1 8 0.6069711
215 38 38 1 8 0.1246251
216 39 38 1 8 0.1643442
217 40 38 1 8 4.165397e-06
218 41 38 1 8 0.07354712
219 42 38 1 8 0.0154337
220 43 38 1 8 0.179884
221 44 38 1 8 0.6731163
222 23 39 1 19 0.1290432
223 24 39 1 19 0.08692682
224 25 39 1 19 0.4918679
225 26 39 1 19 0.9970744
226 28 39 1 24 0.4872622
227 29 39 1 24 0.878255
228 30 39 1 24 0.3304519
229 31 39 1 24 0.3026491
230 32 39 1 24 0.4746997
231 33 39 1 24 0.1049221
232 34 39 1 24 0.02609659
233 35 39 1 24 0.08757048
234 39 39 1 8 0.1342609
235 40 39 1 8 0.002472587
236 41 39 1 8 0.1799152
237 42 39 1 8 0.7750885
238 43 39 1 8 0.1355974
239 29 40 1 24 0.5642628
240 30 40 1 24 0.2440415
241 31 40 1 24 0.7544106
242 32 40 1 24 0.1766283
243 17 44 1 15 0.321005
244 18 44 1 15 0.3267318
245 17 45 1 15 0.06957475
246 18 45 1 15 0.01199046
247 19 45 1 15 0.03431467
248 44 45 1 4 0.876118
249 45 45 1 4 0.002551026
250 46 45 1 4 0.4128745
251 47 45 1 4 0.7133096
252 48 45 1 4 2.126852e-06
253 17 46 1 15 0.07190088
254 18 46 1 15 0.001718711
255 19 46 1 15 0.009639675
256 22 46 1 21 0.4309026
257 23 46 1 21 0.5437911
258 24 46 1 21 0.205535
259 25 46 1 21 0.8069026
260 41 46 1 4 0.660513
261 42 46 1 4 0.1806152
262 43 46 1 4 0.05950103
263 44 46 1 4 0.8119712
264 45 46 1 4 0.1038794
265 46 46 1 4 0.9861917
266 47 46 1 4 0.02264235
267 48 46 1 4 0.0007310312
268 18 47 1 15 0.7183408
269 19 47 1 16 0.005163075
270 20 47 1 16 0.08731109
271 21 47 1 16 0.6480018
272 22 47 1 21 0.9416287
273 23 47 1 21 0.3889305
274 24 47 1 21 0.0606322
275 25 47 1 21 0.7415445
276 26 47 1 21 0.8265437
277 27 47 1 21 0.04461343
278 28 47 1 21 0.7065471
279 41 47 1 4 0.01648626
280 42 47 1 4 0.1219579
281 43 47 1 4 0.7562986
282 44 47 1 4 0.02638509
283 45 47 1 4 0.004920953
284 46 47 1 4 0.05537631
285 47 47 1 4 0.0006299287
286 48 47 1 4 0.0009039198
287 19 48 1 16 0.2306859
288 20 48 1 16 0.004207614
289 21 48 1 16 0.8156206
290 22 48 1 21 0.9051381
291 23 48 1 21 0.638845
292 24 48 1 21 0.6678585
293 25 48 1 21 0.7847837
294 26 48 1 21 0.4500418
295 27 48 1 21 0.814822
296 28 48 1 21 0.0351014
297 29 48 1 21 0.07876373
298 39 48 1 4 0.1778077
299 40 48 1 4 0.6581233
300 41 48 1 4 0.01132685
301 42 48 1 4 0.04550131
302 43 48 1 4 0.3280292
303 44 48 1 4 0.002599852
304 45 48 1 4 1.992994e-05
305 46 48 1 4 0.007556508
306 47 48 1 4 0.002398896
307 20 49 1 16 0.096333
308 21 49 1 16 0.9927151
309 22 49 1 21 0.6941723
310 23 49 1 21 0.1376767
311 24 49 1 21 0.5764649
312 25 49 1 21 0.2766552
313 26 49 1 21 0.5408129
314 27 49 1 21 0.4451818
315 28 49 1 21 0.2544102
316 29 49 1 21 0.3084833
317 30 49 1 21 0.1001768
318 37 49 1 10 0.0954072
319 38 49 1 10 0.7851088
320 39 49 1 10 0.2082062
321 40 49 1 4 0.09279441
322 41 49 1 4 0.7632594
323 42 49 1 4 0.9464806
324 43 49 1 4 0.001592633
325 44 49 1 4 0.0004184608
326 45 49 1 4 0.6026078
327 46 49 1 5 0.5083271
328 47 49 1 5 0.05803059
329 20 50 1 16 1.085462e-05
330 21 50 1 21 0.4918149
331 22 50 1 21 0.6821966
332 23 50 1 16 0.5935339
333 24 50 1 16 0.2728545
334 25 50 1 21 0.496419
335 26 50 1 21 0.6674377
336 27 50 1 21 0.5673398
337 28 50 1 21 0.7202401
338 29 50 1 21 0.1676609
339 30 50 1 21 0.5719944
340 33 50 1 10 0.8712039
341 34 50 1 10 0.5635997
342 35 50 1 10 0.08054309
343 36 50 1 10 0.4008858
344 37 50 1 10 0.1375471
345 38 50 1 10 0.1967986
346 39 50 1 10 0.8962757
347 40 50 1 10 0.41932
348 41 50 1 10 0.1938111
349 42 50 1 5 0.002694968
350 43 50 1 5 4.603709e-06
351 44 50 1 5 0.001709414
352 45 50 1 5 0.1570131
353 46 50 1 5 0.03402142
354 20 51 1 16 1.042912e-06
355 21 51 1 21 0.6968774
356 22 51 1 16 0.0008572508
357 23 51 1 16 0.4552352
358 24 51 1 16 0.3600283
359 25 51 1 16 0.0565629
360 26 51 1 16 0.4647723
361 27 51 1 21 0.3921475
362 28 51 1 21 0.09495863
363 29 51 1 21 0.5096046
364 30 51 1 21 0.1573582
365 33 51 1 10 0.2473383
366 34 51 1 10 0.07356285
367 35 51 1 10 0.614873
368 36 51 1 10 0.05814979
369 37 51 1 10 0.9080606
370 38 51 1 10 0.05380444
371 39 51 1 10 0.1089307
372 40 51 1 10 0.03391917
373 41 51 1 10 0.009693173
374 42 51 1 5 0.0001660423
375 43 51 1 5 1.830877e-05
376 44 51 1 5 0.3792872
377 45 51 1 5 0.1729198
378 46 51 1 5 0.1709716
379 21 52 1 16 1.30674e-05
380 22 52 1 16 0.4757693
381 23 52 1 16 0.2104314
382 24 52 1 16 0.3678461
383 25 52 1 16 0.5430406
384 26 52 1 16 0.290588
385 27 52 1 21 0.8957683
386 28 52 1 21 0.6057255
387 29 52 1 21 0.3697869
388 30 52 1 21 0.09764609
389 33 52 1 10 0.03331518
390 34 52 1 10 0.4418542
391 35 52 1 10 0.9372717
392 36 52 1 10 0.7470972
393 37 52 1 10 0.3169332
394 38 52 1 10 0.03441072
395 39 52 1 10 0.7118744
396 40 52 1 10 0.02448022
397 41 52 1 10 0.4871757
398 42 52 1 10 0.5886573
399 43 52 1 5 0.004548606
400 44 52 1 5 0.1430201
401 45 52 1 5 0.3397189
402 24 53 1 16 0.8906753
403 25 53 1 16 0.7589903
404 26 53 1 16 0.1319354
405 27 53 1 21 0.7486293
406 28 53 1 21 0.8895677
407 29 53 1 21 0.1508638
408 30 53 1 21 0.435496
409 33 53 1 10 0.19313
410 34 53 1 10 0.4238797
411 35 53 1 10 0.6444599
412 36 53 1 10 0.9269033
413 37 53 1 10 0.1129496
414 38 53 1 10 0.05370521
415 39 53 1 10 0.9615812
416 40 53 1 10 0.9009594
417 41 53 1 10 0.5936351
418 42 53 1 5 0.02120927
419 43 53 1 5 3.260775e-06
420 44 53 1 5 0.1275372
421 25 54 1 16 0.1058121
422 26 54 1 16 0.4339041
423 27 54 1 21 0.375194
424 28 54 1 21 0.2774148
425 29 54 1 21 0.2194313
426 30 54 1 21 0.03399186
427 33 54 1 10 0.02660752
428 34 54 1 10 0.3490538
429 35 54 1 10 0.1268143
430 36 54 1 10 0.1380537
431 37 54 1 10 0.9478198
432 38 54 1 10 0.98587
433 39 54 1 10 0.2160358
434 40 54 1 10 0.06777556
435 41 54 1 5 0.5498307
436 42 54 1 5 0.002776995
437 43 54 1 5 2.471207e-06
438 27 55 1 21 0.1154447
439 28 55 1 21 0.183501
440 29 55 1 21 0.6949746
441 30 55 1 21 0.9496631
442 33 55 1 10 0.003657199
443 34 55 1 10 0.01841071
444 35 55 1 10 0.1483759
445 36 55 1 10 0.7763192
446 37 55 1 10 0.265535
447 38 55 1 10 0.3102811
448 39 55 1 10 0.1458943
449 40 55 1 10 0.2758078
450 41 55 1 5 0.6375414
451 42 55 1 5 0.01485711
452 36 56 1 10 0.01313226
453 37 56 1 10 9.641917e-05
454 38 56 1 10 0.0005197556
455 39 56 1 5 0.2624662
456 40 56 1 5 0.2026855
457 41 56 1 5 0.05684108
458 38 23 2 2 0.724708
459 24 24 2 13 0.008924685
460 25 24 2 13 0.1099697
461 38 24 2 2 0.9529183
462 39 24 2 2 0.07286572
463 40 24 2 2 0.4150328
464 22 25 2 13 0.07364072
465 23 25 2 13 0.9495408
466 24 25 2 13 0.1846773
467 25 25 2 13 0.2201583
468 38 25 2 2 0.8676274
469 39 25 2 2 0.2420854
470 40 25 2 2 0.8302547
471 41 25 2 2 8.132265e-05
472 21 26 2 13 0.003307051
473 22 26 2 13 0.7350782
474 23 26 2 13 0.7593683
475 24 26 2 13 0.5321959
476 38 26 2 2 0.2041736
477 39 26 2 2 0.8644539
478 40 26 2 2 0.1071885
479 41 26 2 2 0.414245
480 42 26 2 2 0.01887961
481 21 27 2 13 0.5549461
482 22 27 2 13 0.679632
483 23 27 2 13 0.4737714
484 24 27 2 13 0.8709143
485 25 27 2 13 0.6869096
486 38 27 2 2 0.6299632
487 39 27 2 2 0.8588179
488 40 27 2 2 0.9420246
489 41 27 2 2 0.6316731
490 42 27 2 2 0.003674818
491 43 27 2 2 0.8675698
492 20 28 2 14 0.2413739
493 21 28 2 13 0.6014382
494 22 28 2 13 0.1166083
495 23 28 2 13 0.2459065
496 24 28 2 13 0.08218238
497 25 28 2 13 0.03116158
498 26 28 2 13 0.1102301
499 38 28 2 2 0.6984862
500 39 28 2 2 0.8060519
501 40 28 2 2 0.4554512
502 41 28 2 2 0.4145099
503 42 28 2 2 0.02365463
504 43 28 2 2 0.2981061
505 44 28 2 3 0.114003
506 19 29 2 14 0.3338581
507 20 29 2 13 0.9599599
508 21 29 2 13 0.2978015
509 22 29 2 13 0.08672109
510 23 29 2 13 0.07836789
511 24 29 2 13 0.02484114
512 25 29 2 13 0.027225
513 26 29 2 13 0.9140103
514 37 29 2 2 0.1920323
515 38 29 2 2 0.3835873
516 39 29 2 2 0.6229084
517 40 29 2 2 0.4155214
518 41 29 2 3 0.7066793
519 42 29 2 3 0.856115
520 43 29 2 3 0.2620392
521 44 29 2 3 0.4115372
522 45 29 2 3 0.8384376
523 19 30 2 14 0.1880166
524 20 30 2 13 0.2971222
525 21 30 2 13 0.1853385
526 22 30 2 13 0.7134332
527 23 30 2 13 0.3820943
528 24 30 2 13 0.08543743
529 25 30 2 13 0.4384663
530 37 30 2 2 0.8690763
531 38 30 2 2 0.1089111
532 39 30 2 2 0.0007667307
533 40 30 2 2 0.001463408
534 41 30 2 3 0.2099394
535 42 30 2 3 0.400339
536 43 30 2 3 0.4266513
537 44 30 2 3 0.2948378
538 45 30 2 3 0.09677278
539 46 30 2 3 0.02938799
540 19 31 2 14 0.06493245
541 20 31 2 14 0.05548033
542 21 31 2 13 0.1943018
543 22 31 2 13 0.7500603
544 23 31 2 13 0.5317769
545 24 31 2 13 0.02280728
546 25 31 2 13 0.3466879
547 37 31 2 2 0.5080432
548 38 31 2 2 0.6131704
549 39 31 2 2 0.0002603331
550 40 31 2 2 0.003433185
551 41 31 2 3 0.6817962
552 42 31 2 3 0.7896361
553 43 31 2 3 0.02368897
554 44 31 2 3 0.51064
555 45 31 2 3 0.6850056
556 46 31 2 3 0.2231072
557 19 32 2 14 0.002704039
558 20 32 2 14 0.910178
559 21 32 2 14 0.4962586
560 22 32 2 13 0.002844859
561 23 32 2 13 0.1444427
562 24 32 2 13 0.004045734
563 25 32 2 13 0.7518854
564 28 32 2 24 0.3090038
565 29 32 2 24 0.7915584
566 30 32 2 24 0.005361813
567 31 32 2 24 0.0003631147
568 32 32 2 24 0.1425617
569 33 32 2 24 0.04757675
570 34 32 2 24 0.0276134
571 37 32 2 2 0.6619702
572 38 32 2 2 0.6139049
573 39 32 2 2 0.01926338
574 40 32 2 2 0.8163
575 41 32 2 3 0.3121693
576 42 32 2 3 0.7302807
577 43 32 2 3 0.8696514
578 44 32 2 3 0.6507352
579 45 32 2 3 0.01109308
580 46 32 2 3 0.0005079417
581 19 33 2 14 0.5232267
582 20 33 2 14 0.4234258
583 21 33 2 14 0.05006787
584 22 33 2 13 0.2164006
585 23 33 2 13 0.0792194
586 24 33 2 13 0.5171475
587 25 33 2 13 0.7403516
588 26 33 2 19 0.2397685
589 27 33 2 24 0.8254954
590 28 33 2 24 0.0099519
591 29 33 2 24 0.0008085867
592 30 33 2 24 0.002785351
593 31 33 2 24 0.006004328
594 32 33 2 24 0.08224666
595 33 33 2 24 3.919332e-07
596 34 33 2 24 1.262523e-08
597 35 33 2 24 0.278199
598 36 33 2 24 0.5548503
599 38 33 2 2 0.138235
600 39 33 2 2 0.07006055
601 40 33 2 2 0.002630428
602 41 33 2 3 0.1155342
603 42 33 2 3 0.1228486
604 43 33 2 3 0.1695445
605 44 33 2 3 0.9924268
606 45 33 2 3 0.8532644
607 46 33 2 3 0.002024634
608 19 34 2 19 0.08187195
609 20 34 2 19 0.003015817
610 21 34 2 14 0.2295469
611 22 34 2 13 0.7298175
612 23 34 2 13 0.9558425
613 24 34 2 19 0.7730765
614 25 34 2 19 0.01120667
615 26 34 2 19 0.2909498
616 27 34 2 24 0.7347944
617 28 34 2 24 0.2439375
618 29 34 2 24 0.3401857
619 30 34 2 24 0.1850131
620 31 34 2 24 0.438901
621 32 34 2 24 0.9511209
622 33 34 2 24 0.001096061
623 34 34 2 24 0.004071436
624 35 34 2 24 0.4283243
625 39 34 2 2 0.5039781
626 40 34 2 2 0.06919954
627 41 34 2 8 0.2459852
628 42 34 2 8 0.3864092
629 43 34 2 8 0.7120063
630 44 34 2 8 0.9791922
631 45 34 2 8 0.9958169
632 46 34 2 8 0.03975759
633 47 34 2 8 0.1859459
634 19 35 2 19 0.003104059
635 20 35 2 19 0.001063332
636 21 35 2 19 0.00040895
637 22 35 2 19 0.304433
638 23 35 2 19 0.3741386
639 24 35 2 19 0.06491562
640 25 35 2 19 0.1481303
641 27 35 2 24 0.733302
642 28 35 2 24 0.1187144
643 29 35 2 24 0.9925116
644 30 35 2 24 0.5919555
645 31 35 2 24 0.746897
646 32 35 2 24 0.0679612
647 33 35 2 24 0.004931484
648 34 35 2 24 0.9807631
649 35 35 2 24 0.07553656
650 38 35 2 8 0.09285451
651 39 35 2 8 0.268965
652 40 35 2 8 0.9606287
653 41 35 2 8 0.002789602
654 42 35 2 8 0.2746281
655 43 35 2 8 0.6373024
656 44 35 2 8 0.1848179
657 45 35 2 8 0.1752256
658 46 35 2 8 0.8629101
659 47 35 2 8 0.8639998
660 19 36 2 19 0.2811279
661 20 36 2 19 0.0006833488
662 21 36 2 19 0.2203816
663 22 36 2 19 0.01298461
664 23 36 2 19 0.1193476
665 24 36 2 19 0.2961829
666 25 36 2 19 0.2558286
667 27 36 2 24 0.5640578
668 28 36 2 24 0.08475447
669 29 36 2 24 0.004426223
670 30 36 2 24 0.827769
671 31 36 2 24 0.8727886
672 32 36 2 24 0.8215443
673 33 36 2 24 0.3637543
674 34 36 2 24 0.1797854
675 38 36 2 8 0.5720763
676 39 36 2 8 0.08317651
677 40 36 2 8 0.6125785
678 41 36 2 8 0.09135005
679 42 36 2 8 0.04118827
680 43 36 2 8 0.7743578
681 44 36 2 8 0.9205156
682 45 36 2 8 0.2576112
683 46 36 2 8 0.4258745
684 47 36 2 8 0.7565105
685 20 37 2 19 0.4552907
686 21 37 2 19 0.7644457
687 22 37 2 19 0.9117747
688 23 37 2 19 0.977482
689 24 37 2 19 0.03495199
690 25 37 2 19 0.3173068
691 27 37 2 24 0.9486407
692 28 37 2 24 0.2146066
693 29 37 2 24 0.07229971
694 30 37 2 24 0.5647037
695 31 37 2 24 0.0198297
696 32 37 2 24 0.118979
697 33 37 2 24 0.6530434
698 34 37 2 24 0.9216213
699 38 37 2 8 0.3524756
700 39 37 2 8 0.404179
701 40 37 2 8 0.9018782
702 41 37 2 8 0.7557673
703 42 37 2 8 0.0008903315
704 43 37 2 8 0.5686907
705 44 37 2 8 0.2262965
706 45 37 2 8 0.4404325
707 47 37 2 8 0.03824588
708 21 38 2 19 0.484511
709 23 38 2 19 0.5372603
710 24 38 2 19 0.02420801
711 25 38 2 19 0.8179829
712 27 38 2 24 0.7534772
713 28 38 2 24 0.242099
714 29 38 2 24 0.5134095
715 30 38 2 24 0.1665676
716 31 38 2 24 0.1501677
717 32 38 2 24 0.995372
718 33 38 2 24 0.3735822
719 34 38 2 24 0.2880208
720 35 38 2 24 0.720371
721 39 38 2 8 0.06486917
722 40 38 2 8 0.2899791
723 41 38 2 8 0.4608969
724 42 38 2 8 0.07197529
725 43 38 2 8 0.05238269
726 24 39 2 19 0.9289968
727 25 39 2 19 0.5590896
728 27 39 2 24 0.9351297
729 28 39 2 24 0.7954727
730 29 39 2 24 0.3652333
731 30 39 2 24 0.235792
732 31 39 2 24 0.2173363
733 32 39 2 24 0.8200774
734 33 39 2 24 0.5037629
735 34 39 2 24 0.1611427
736 35 39 2 24 0.8405495
737 49 43 2 9 0.1323678
738 16 44 2 15 0.3747419
739 17 44 2 15 0.2122538
740 45 44 2 9 0.9617726
741 46 44 2 9 0.3661325
742 47 44 2 9 0.8089524
743 48 44 2 9 0.03381258
744 49 44 2 9 0.0001989686
745 16 45 2 15 0.5727346
746 17 45 2 15 0.0004366455
747 18 45 2 15 0.0009649209
748 20 45 2 21 0.1090827
749 21 45 2 21 0.03800188
750 22 45 2 21 0.1464313
751 23 45 2 21 0.6568206
752 44 45 2 4 0.7761848
753 45 45 2 4 0.6695955
754 46 45 2 4 0.2310419
755 47 45 2 4 0.9631091
756 48 45 2 4 0.09930394
757 49 45 2 4 0.2488831
758 16 46 2 15 0.2188653
759 17 46 2 15 0.1456482
760 18 46 2 15 0.00211815
761 19 46 2 15 0.8022643
762 20 46 2 16 0.05911456
763 21 46 2 21 0.01630645
764 22 46 2 21 0.37289
765 23 46 2 21 0.9406466
766 40 46 2 4 0.2146585
767 41 46 2 4 0.4128058
768 42 46 2 4 0.5398156
769 43 46 2 4 0.8320499
770 44 46 2 4 0.1747926
771 45 46 2 4 0.9773101
772 46 46 2 4 0.01554807
773 47 46 2 4 0.2859499
774 48 46 2 4 0.05672332
775 49 46 2 4 0.07760241
776 16 47 2 15 9.959081e-05
777 17 47 2 15 0.3608689
778 18 47 2 15 0.4592691
779 19 47 2 15 0.1830715
780 20 47 2 16 0.008573008
781 21 47 2 21 0.0004972898
782 22 47 2 21 0.1965322
783 23 47 2 21 0.5238165
784 24 47 2 21 0.1030617
785 25 47 2 21 0.870394
786 38 47 2 4 0.4986396
787 39 47 2 4 0.04203037
788 40 47 2 4 0.6694352
789 41 47 2 4 0.8542992
790 42 47 2 4 0.1196217
791 43 47 2 4 0.7458601
792 44 47 2 4 0.4018427
793 45 47 2 4 0.01311602
794 46 47 2 4 0.01047425
795 47 47 2 4 0.528726
796 48 47 2 4 0.01359163
797 49 47 2 4 0.005215241
798 17 48 2 15 0.02293225
799 18 48 2 15 0.08269312
800 19 48 2 15 0.258962
801 20 48 2 16 0.08465503
802 21 48 2 16 2.185541e-07
803 22 48 2 21 0.0003227799
804 23 48 2 21 0.3614679
805 24 48 2 21 0.3726656
806 25 48 2 21 0.9808681
807 26 48 2 21 0.7721069
808 38 48 2 4 0.3548166
809 39 48 2 4 0.134951
810 40 48 2 4 0.3869301
811 41 48 2 4 0.02616015
812 42 48 2 4 0.03655539
813 43 48 2 4 0.007023967
814 44 48 2 4 0.0006193184
815 45 48 2 4 0.159356
816 46 48 2 4 0.52967
817 47 48 2 4 0.1214113
818 48 48 2 4 0.07056885
819 49 48 2 4 0.118759
820 17 49 2 15 0.07675598
821 18 49 2 15 0.6416219
822 19 49 2 15 0.7318543
823 20 49 2 16 0.003729881
824 21 49 2 16 1.596351e-08
825 22 49 2 21 7.8977e-05
826 23 49 2 21 0.02386701
827 24 49 2 21 0.146492
828 25 49 2 21 0.05974927
829 26 49 2 21 0.7714806
830 34 49 2 10 0.2524374
831 35 49 2 10 0.1394339
832 36 49 2 10 0.5567927
833 37 49 2 10 0.4887068
834 38 49 2 10 0.8642598
835 39 49 2 10 0.4132786
836 40 49 2 10 0.0385516
837 41 49 2 5 1.14054e-07
838 42 49 2 5 2.501451e-05
839 43 49 2 5 0.001179415
840 44 49 2 5 0.005126653
841 45 49 2 5 0.007648637
842 46 49 2 5 0.09171434
843 47 49 2 5 0.9399866
844 48 49 2 4 0.5505588
845 18 50 2 15 0.08186982
846 19 50 2 16 0.8210153
847 22 50 2 16 0.0005113358
848 23 50 2 16 0.8316934
849 24 50 2 16 4.074441e-05
850 25 50 2 16 0.02532829
851 26 50 2 21 0.3970059
852 27 50 2 21 0.7819686
853 28 50 2 21 0.1277908
854 32 50 2 10 0.2925285
855 33 50 2 10 0.2228055
856 34 50 2 10 0.1780927
857 35 50 2 10 6.162233e-08
858 36 50 2 10 0.06360237
859 37 50 2 10 0.8926111
860 38 50 2 10 0.863141
861 39 50 2 10 0.98248
862 40 50 2 10 0.1634285
863 41 50 2 5 4.618227e-07
864 42 50 2 5 0.0002029118
865 43 50 2 5 0.3837867
866 44 50 2 5 0.002412325
867 45 50 2 5 4.248394e-05
868 46 50 2 5 0.0001893697
869 47 50 2 5 0.282154
870 19 51 2 16 0.6174439
871 26 51 2 16 0.8823556
872 27 51 2 21 0.8294911
